Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12781,28,T:System.Net.Http.HttpContent,,,,,string responseText_ = ( response_.Content == null ) ? string.Empty : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12781,28,T:System.Net.Http.HttpContent,,,,,string responseText_ = ( response_.Content == null ) ? string.Empty : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12762,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12760,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12760,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12749,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12749,20,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12749,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12742,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Count"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(count, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12742,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Count"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(count, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12738,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Page"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(page, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12738,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Page"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(page, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12734,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""RequireUserHasProjects"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(requireUserHasProjects, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12734,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""RequireUserHasProjects"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(requireUserHasProjects, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12730,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Team"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(team, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
